"","WDR_train","WDR_val","WDR_test","WIS_train","WIS_val","WIS_test","exp_grid","iteration"
"1",2.2539,2.0796,3.7183,1.8684,1.8388,1.8067,"Physician","Physician"
"13",12.2818709747615,14.7587481307902,16.6584982661528,12.6439988534116,12.6361234173914,11.8813650086941,"1","130000"
"16",11.3070086265712,13.9297700770087,17.1995861584479,12.6441478915991,12.6441140020293,12.6077493311622,"1","160000"
"19",12.2203702778989,13.7874797781891,18.5683304591417,12.6439918061826,12.6438859600738,12.6371655715579,"1","190000"
"20",12.3412003469467,13.7477370074057,17.1883017666321,12.6441477868115,12.6440864678608,12.5708668833005,"1","200000"
"18",11.4591177142045,13.7237428616283,16.1914740943908,12.64414789982,12.6440062080397,12.2764162872896,"1","180000"
"26",11.7919843575033,13.5054866869513,16.4397762292462,12.6441479005478,12.3383266702368,12.6416649817012,"1","260000"
"12",11.9767972182538,13.4442638754331,15.146560513939,12.6441446969251,12.6411216629492,11.1750607728082,"1","120000"
"15",10.9458562571774,13.2292919661261,12.0509656477235,12.6441466616895,12.6318067499291,11.8916836753058,"1","150000"
"10",12.3528815284325,13.1009204204243,18.3980203954476,12.643911481092,12.64412962721,12.6416325473559,"1","100000"
"17",11.6803294793018,13.0830554876062,17.4980155337401,12.644147892457,12.643863039675,12.6312044061466,"1","170000"
"3",11.2396414961402,12.6386871927808,8.71506520406754,12.6354209689482,12.6441313157486,6.30370621688408,"1","30000"
"30",11.6117822295124,12.220912453756,12.7825127209246,12.6441478978157,12.4082924048848,11.1458421167997,"1","300000"
"28",4.64444545981572,11.4624590973337,17.5323326549472,4.20627745171343,12.5603960195023,12.6427256892747,"1","280000"
"25",12.5306263482849,9.42746828746598,16.4875101455747,12.6441136236582,9.46083988449859,12.473168970233,"1","250000"
"29",11.7939720169416,9.38438627168853,15.2035405931683,12.6441437964894,12.6275101011183,12.6259842422642,"1","290000"
